file_name,url,source_query,title,score,matched_terms,sha256
001-trata--se-de-acao-de-indenizacao-por-dano-material-e-dano-moral-8f86749a.pdf,https://www.conjur.com.br/wp-content/uploads/2025/03/doc_85895493.pdf,"""petição inicial"" ""dano moral"" ""julgo procedente"" filetype:pdf",Trata- se de Ação de Indenização por Dano Material e Dano Moral ...,23,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial; procedencia do pedido; procedência do pedido,8f86749a5d7bde1a14348e30415e2afd9baae43a138f9b7f3d688d0f4c850c9c
002-acordao-8fdcfcee.pdf,https://static.poder360.com.br/2023/12/integra-acordao-tjmg-condenacao-nikolas-ferreira-danos-duda-salabert.pdf,"""petição inicial"" ""dano moral"" ""julgo procedente"" filetype:pdf",ACÓRDÃO,20,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial; provimento ao recurso,8fdcfceefdc3804032562c556ab5e65faebb32f76398b923043dd57a4b7c7c75
003-tjpb---2o-grau---processo-judicial-eletronico---migalhas-f4fb941b.pdf,https://www.migalhas.com.br/arquivos/2024/9/98326CC0D2A0EF_tjpb-87.pdf,"""petição inicial"" ""dano moral"" ""julgo procedente"" filetype:pdf",· TJPB - 2o Grau - Processo Judicial Eletrônico - Migalhas,17,acao de indenizacao; ação de indenização; dano moral; danos morais; julgo parcialmente procedente; provimento ao recurso; provimento parcial ao recurso,f4fb941bfdcc638924fa3b8a5149ddada34b851f4db39ec4033a90c6bbd8829d
004-decisao-25354545.pdf,https://www.migalhas.com.br/arquivos/2021/11/4BA78C6D95F81D_decisao-autismo.pdf,"""petição inicial"" ""danos morais"" ""pedido procedente"" filetype:pdf",decisão,17,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial,25354545988174700e34922fdd73076aef39d402a676c9e202fb1613f91859fd
005-vol.35.indd-d5e3f71f.pdf,https://www.stj.jus.br/docs_internet/revista/eletronica/stj-revista-sumulas-2013_35_capSumula387.pdf,"""petição inicial"" ""danos morais"" ""pedido procedente"" filetype:pdf",vol.35.indd,21,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; pedido procedente; provimento ao recurso; recurso provido,d5e3f71f02a1d6e5f5143d93a622ea54cdfccf32c4c454ff66ec0d8a0a5b6efd
006-relator-34edf23a.pdf,https://www.conjur.com.br/wp-content/uploads/2023/09/trt-condena-ambev-pagar-indenizacao-16.pdf,"""petição inicial"" ""danos morais"" ""pedido procedente"" filetype:pdf",RELATOR,16,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; pedido procedente; petição inicial; provimento ao recurso,34edf23abc7c1ac4125ebb1c3169d39bf895ab90c7b26050f4d9e87fecea994d
007-apelacao-civel.-direito-do-consumidor.-acao-...---migalhas-371a26ab.pdf,https://www.migalhas.com.br/arquivos/2025/1/7AF1F65E4D735F_0719617-21.2023.8.07.0003_6738.pdf,"""ação de indenização por danos morais"" ""julgo procedente"" ""petição inicial"" filetype:pdf",APELAÇÃO CÍVEL. DIREITO DO CONSUMIDOR. AÇÃO ... - Migalhas,23,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial; procedencia do pedido; procedência do pedido,371a26ab6d622d102b7dc16348864ebd69870ac19b4a68143e3be5c8337ab38d
008-processo-0005059-39.2019.8.14.0130---apelacao-civel-60642620.pdf,https://www.tjpa.jus.br/CMSPortal/VisualizarArquivo?idArquivo=1274604,"""ação de indenização por danos morais"" ""julgo procedente"" ""petição inicial"" filetype:pdf",PROCESSO: 0005059-39.2019.8.14.0130 - APELAÇÃO CÍVEL,7,dano moral; danos morais; julgo parcialmente procedente,606426204a81d9526d071b4544fa6bdc827b0d0aa26bc4733e640dccd7e3f98e
009-processo-no-0804217-52.2015.4.05.0000---apelacao-3962be7e.pdf,https://www4.trf5.jus.br/data/2015/09/PJE/08042175220154050000_20150911_62065_40500003025819.pdf,"""ação de indenização por danos morais"" ""julgo procedente"" ""petição inicial"" filetype:pdf",PROCESSO No: 0804217-52.2015.4.05.0000 - APELAÇÃO,13,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial,3962be7e485d7ed829648a77dd586e29ea1e2a6158c915a4daca8ec23db11f9c
010-ementa---migalhas-7a19eb7b.pdf,https://www.migalhas.com.br/arquivos/2019/7/art20190708-07.pdf,"""ação de indenização por danos morais"" ""julgo procedente"" ""petição inicial"" filetype:pdf",EMENTA - Migalhas,20,acao de indenizacao; ação de indenização; dano moral; danos morais; julgo procedente; procedencia do pedido; procedência do pedido; provimento ao recurso,7a19eb7b855be265c0496653c73a20458e378dfbfba0638d77b79a15363c2544
